Mã sự cố,Ngày lập,Trạng thái,Nhà cung cấp,Phân loại hàng,Loại sự cố,Số HĐ (INV),Bộ phận,PIC,Sub-PIC,Nhãn dán (Tags),Ghi chú chung,Mã hàng,Tên sản phẩm,Số lô,HSD,SL,ĐVT,LPN,ASN,Mô tả lỗi chi tiết,Hành động khắc phục
BBSC.HCM-0499-0926,03/09/2026,Chờ hết INV,HYPHENS,HÀNG NHẬP KHẨU,Không đạt Cảm quan,SI-26-000423,Team ĐGC2,Như,Lữ,Urgent,,HY1100015,PIASCLEDINE TAB 30.S  ,AB763,28/02/2029,1,Hộp,LPN012177,0000038028,03.09.26 : 01 hộp rách (thùng 354),
BBSC.HCM-0499-0926,03/09/2026,Chờ hết INV,HYPHENS,HÀNG NHẬP KHẨU,Không đạt Cảm quan,SI-26-000423,Team ĐGC2,Như,Lữ,Urgent,,HY1100015,PIASCLEDINE TAB 30.S  ,AB765,28/02/2029,4,Hộp,LPN012193,0000038028,"04.09.26 : 03h rách (thùng 119), 01h rách (thùng 370)",
BBSC.HCM-0502-0926,05/09/2026,Khởi tạo,MAYOLY,HÀNG NHẬP KHẨU,Không đạt Cảm quan,SIVIC0075829,Kho Nhập,Trinh,Phúc,Đã mail hãng,,MY1100013,FORLAX 10G 20SACH VN (NEW),E04883,17/04/2029,2,Hộp,000241231,0000038068,Móp cấn,
BBSC.HCM-0504-0926,07/09/2026,KHỞI TẠO,GETZ,HÀNG NHẬP KHẨU,Vượt Nhiệt độ,GETZ/VIET/333/2026 & GETZ/VIET/334/2026,CN.HY,Hà,,HOLD chi nhánh,,GZ4205001,DIAMISU-70+30 100IU/ML INJ,,,0,,,,,
BBSC.HCM-0500-0926,03/09/2026,Khởi tạo,ALLEVIARE,HÀNG NHẬP KHẨU,Sai số lượng,F22700000951,Team ĐGC2,Như,Thiện,Chờ chốt hết đợt,,AV1300011,KLENZIT-C (HOP/1 TUYP 15G),10261041,06/12/2027,4,Hộp,LPN012163,0000037910,Thiếu 04 hộp trong thùng nguyên,
BBSC.HCM-0508-0926,08/09/2026,Khởi tạo,ALLEVIARE,HÀNG NHẬP KHẨU,Không đạt Cảm quan,EXP32/2026-27,Kho Nhập,Trinh,Thiện,Đã mail hãng,,AV1300027,ESOJAY 15G (HOP/ 1 TUYP),H631,12/08/2029,25,Hộp,000241555 or LPN012225,0000038131,"11 hộp móp nặng
14 hộp móp ",
BBSC.HCM-0509-0926,08/09/2026,Khởi tạo,GETZ,HÀNG NHẬP KHẨU,Không đạt Cảm quan,GETZ/VIET/376/2026,Kho Nhập,Trinh,Phúc,Chờ HÃNG,,GZ1105013,LIPIGET 20MG TAB 10.S,408F11,31/07/2029,2,hộp,000241589,0000038128,Hàng bị thiếu trong thùng nguyên,
BBSC.HCM-0509-0926,08/09/2026,Khởi tạo,GETZ,HÀNG NHẬP KHẨU,Không đạt Cảm quan,GETZ/VIET/376/2026,Kho Nhập,Trinh,Phúc,Chờ HÃNG,,GZ1105053,EMPIGET TABLETS 10MG (HOP/2 VI X 7 VIEN),130FB5,20/06/2028,2,Hộp,000241592,0000038128,Hàng bị thiếu trong 2 thùng lẻ,
BBSC.HCM-0511-0926,09/09/2026,Khởi tạo,SANOFI,HÀNG TRẢ VỀ,Không đạt Cảm quan,AR 1687193 (7/8/26),Kho Nhập,Duyên,Phúc,Not scan,,SA1100054,BISOLVON KIDS 60ML BOTx1 VN,GVH0901,30/09/2027,8,Hộp,,,Móp,Đền bù vận chuyển
BBSC.HCM-0511-0926,09/09/2026,Khởi tạo,SANOFI,HÀNG TRẢ VỀ,Không đạt Cảm quan,AR 1687193 (7/8/26),Kho Nhập,Duyên,Phúc,Not scan,,SA1107001,ACEMUC 200MG 1G_SC30_VN,GVH0753,05/04/2028,2,Hộp,,,"Móp, rách",Đền bù vận chuyển
